conversation_id,turn_number,generated_response
423,9,What did you think of the article?
423,10,what did you think about the article? I thought the cop was wrong in this.
426,6,What do you think about the article?
426,7,Hello! What did you think about the article?
426,8,I found it kinda hard to connect to this article.  It's defiitely sad for the families involved.
426,9,what did you think about this article
426,10,It was definitely a hard article to read. News stories don't get me much unless they're involving children and especially children dying.
427,6,"Last I heard, there's a major genocide threat in Myanmar so it doesn't seem like things will be looking up soon, no. :("
427,7,"I agree.  I think the UN is embarrassing and self-righteous and accomplishes nothing.  I also think Burma has a right to run their own country how they like.  As someone in the article said, this is an internal matter, not an international one.  I tend to agree."
427,8,It sounded like Myanmar's government will have to start not denying there's a problem.
427,9,"That's probably part of it, although I don't know much about the Burmese economy.  But overpopulation is a big problem, too.  And corrupt governments."
427,10,Do you think there is a practical solution to the problems they are facing within Burma?
428,6,What do you think about the article?
428,7,it is nice he changed his life around and is helping others now
428,8,what did you think about the article?
428,9,That's so great that you can help them. It's great to hear that people are actually putting valiant efforts into changing something about the struggles. You don't hear it often. I'll definitely look up the organization. What city is it based out of?
428,10,"I found the article to be very sad, and anger-inducing. How about you?"
432,6,"Myanmar has a fair bit of geopolitical importance,i guess there could be some fear of losing the government as an asset"
432,7,Do you think there is a practical solution to the problems they are facing within Burma?
432,8,I was wondering how the UN might put pressure on the Burmese government to correct this. Sanctions perhaps? Or maybe an intervention force?
432,9,"I agree.  I think the UN is embarrassing and self-righteous and accomplishes nothing.  I also think Burma has a right to run their own country how they like.  As someone in the article said, this is an internal matter, not an international one.  I tend to agree."
432,10,"Last I heard, there's a major genocide threat in Myanmar so it doesn't seem like things will be looking up soon, no. :("
433,6,What did you feel about the article?
433,7,what were your thoughts on the article?
433,8,The article was very sad. What did you think abotu it?
433,9,How did this article make you feel?
433,10,"Yes I think it is sad for the kids, too.  innocents.  they kinda made it out like it was just a bunch of kids, though.  accoring to another article it was 62% med aged 33 on average"
438,6,It really is. I'm glad that woman in the article had sucha  positive outlook on it though. I've dealt with several family members getting cancer when I was a kid and there was a lot of suffering.
438,7,"By the article, there was a great deal going on their lives, regardless of the Mom's PTSD with the little girl.   The entire household would be affected.   I just do not understand how things get so dark you would someone especially your family."
438,8,"Reading this article, I feel as a woman that I am very fortunate."
438,9,Yeah the girl that watched her mother die is going to need a lot of therapy I hope she gets it.
438,10,"Especially the lengths she went to to normalize and encourage the behavior. Honestly, my stomach is churning just thinking about some of the details included in the article. Do you think going on network television with her issue has been a positive or negative experience for the victim?"
439,6,what did you think about this article
439,7,"It's definitely really sad to read, considering everything they're all going through. What did you think?"
439,8,"I think it's super sad... they seem to never catch a break, always struggling."
439,9,I can't imagine just living in an area that is constantly being ravaged by hurricanes or earthquakes. I take my location for granted.
439,10,Me too.. I also can't imagine living in the poverty and such.. It's crazy to think that people still live like that sometimes.  The gap between first world countires and places like that is crazy to em
442,6,I agree especially with a family and children involved it was horrific
442,7,Yeah the girl that watched her mother die is going to need a lot of therapy I hope she gets it.
442,8,"It made me very sad.   She had such a hard life.   Whether it's socialized medicine or medicine here in the states, they miss so much with mental illness."
442,9,Exactly! Yah that seems like a grab for views which is sad on Dr Phils part. He should have focused on the abusee and trying to help her.
442,10,"Especially the lengths she went to to normalize and encourage the behavior. Honestly, my stomach is churning just thinking about some of the details included in the article. Do you think going on network television with her issue has been a positive or negative experience for the victim?"
443,6,what did you think about this article
443,7,What do you think about the article?
443,8,The article was very sad. What did you think abotu it?
443,9,What did you feel about the article?
443,10,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
444,6,what did you think about this article
444,7,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
444,8,"I found the article to be very sad, and anger-inducing. How about you?"
444,9,"How disturbing that these young girls were enslaved, how does this article make you feel?"
444,10,That article really made me emotional...It's so sad when children are bullied and aren't able to fix the situation.
445,6,"Yeah totally, me too.  That impacted me the most out of the entire article.  As a mother of four, that's just the ultimate tragedy for a parent.  I\m so sad for him."""
445,7,"By the article, there was a great deal going on their lives, regardless of the Mom's PTSD with the little girl.   The entire household would be affected.   I just do not understand how things get so dark you would someone especially your family."
445,8,Exactly! Yah that seems like a grab for views which is sad on Dr Phils part. He should have focused on the abusee and trying to help her.
445,9,I felt very disturbed while reading the article about the family situations.
445,10,It really is. I'm glad that woman in the article had sucha  positive outlook on it though. I've dealt with several family members getting cancer when I was a kid and there was a lot of suffering.
460,6,I'm pretty sure that they are very aware of the dangers following the events. The real shame is that humanity in general is a very reactive instead of a proactive entity. Tragedies like this are required before any meaningful action is taken across the board.
460,7,That's legit a small town. Grief and suffering on an unimaginable scale. It is really sickening. I wonder if there will be better precautions in the future so this doesn't happen again.
460,8,I just hope enough support is given to the victims of such events
460,9,"Reading about the crisis that these villagers are in is pretty upsetting and scary, do you think other countries should step in and help?"
460,10,"Yeah maybe, hopefully they just keep the safety of the villagers as one of their biggest priorities. Don't want more people to be hurt and make the situation even worse."
462,6,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
462,7,I agree. The people highlighted in the story seem to have a true need to find safety somewhere else. Moving to another part of the country as some suggested in the article wouldn't seem to help these people. I agree there are no simple and clear solutions. Each case has its own set of needs which is why the process is so easily overwhelmed.
462,8,"yeah that was terrible to read, what do you think can be done to prevent these accidents?"
462,9,"Yes, I thought the article showed quite a broad range of experiences.  People trying to survive the incident itself.  People finding out and dealing with dead loved ones.  People angry about it.  Officials trying to maintain safety and order going forward."
462,10,I agree. Although accidents happen and i honestly don't think she should be punished for it though
463,6,That's legit a small town. Grief and suffering on an unimaginable scale. It is really sickening. I wonder if there will be better precautions in the future so this doesn't happen again.
463,7,So sad that the people of that area have to put up with all of this going on
463,8,"I found this to be quite tragic.  Any incident like this is just terrible, especially for the families and people involved."
463,9,That's so great that you can help them. It's great to hear that people are actually putting valiant efforts into changing something about the struggles. You don't hear it often. I'll definitely look up the organization. What city is it based out of?
463,10,i agree. but it is also inspiring to see communities come together and help each other after these terrible events happen
466,6,"Yeah, I hear your argument for sure.  But there is also the point of respecting children's right not to breathe secondhand smoke.  Let's just say only in areas that are made specifically for kids."
466,7,I guess I'm not all that averse to the notion of limiting children's exposure to second-hand smoke through regulations.  But the explanation for why these people wanted to do it seemed bizarre.  To prevent children from seeing people smoke... I don't agree with that.
466,8,"I support the ban, but I have four children and I've literally had to leave playgrounds before because people were blowing smoke everywhere.  I thought the argument about it setting a bad example was stupid, though."
466,9,I think banning smoking in cars with kids is great two you?
466,10,i do two i never thought about the impact that has on children people smoking in public
467,6,just another reason why the article is just not a good one
467,7,I found this article obnoxious.  What were your thoughts on it?
467,8,how did you feel about this article?
467,9,How you feel about the article?
467,10,what is your synopsis of the article since only your opinion matters. It may be ridiculous but that is an opinion and you can't silence it no matter how hard you want to be able to censor people who have a differing view
470,6,I guess I'm not all that averse to the notion of limiting children's exposure to second-hand smoke through regulations.  But the explanation for why these people wanted to do it seemed bizarre.  To prevent children from seeing people smoke... I don't agree with that.
470,7,i do two i never thought about the impact that has on children people smoking in public
470,8,"It depends.  That's kind of the point I'm getting to.  You can find precedent to justify banning smoking in public.  You can find precedent to not.  I was just curious what your take is as a smoker.  i'm not a smoker, but in most situations I'm not averse to the idea of people being allowed to smoke."
470,9,"Yeah, I hear your argument for sure.  But there is also the point of respecting children's right not to breathe secondhand smoke.  Let's just say only in areas that are made specifically for kids."
470,10,How do you feel about the dwindling space and opportunity you have to smoke?  Do you think you should be allowed to smoke anywhere?  I think it's certainly a mixed message we send about smoking.  It's legal.... only we don't want you to do it anywhere.
473,6,"Not only were the animals starved to death, but their bodies were stuffed and mounted under the guise of posterity for a conflict that minimally affected the aggressor in the first place. I'm so glad that there are organizations out there keeping tabs on this kind of cruelty."
473,7,Yeah.. it just seems so cruel. Especially people that take pictures of the animal's body afterwards. So inhumane
473,8,Agreed.    Harming animals intentionally is a psychopath in the making
473,9,"I don't think the animals should be killed for no good reason, like just to take their horns and sell them for example.  Only if the entire animal is being used for meat, food, etc. like it should be.  They didn't give many specifics about that in this story.  How do you feel about it?"
473,10,"yeah I bet it is bad.  I read another article on here about how animals at the Venezuelan zoo were starving to death, and people were slaughtering horses to eat and to feed animals.  It's really bad down there."
474,6,that's great!  birds are fascinating creatures.  that flamingo danced on its own accord which was neat
474,7,I think its a real story. Witnesses said that he picked up a different flamingo but put it down before getting the other one.
474,8,"Ah, are there any circumstances similar to the one in the article that would excite you emotionally? Endangered animal? Drunken assailant?"
474,9,It's interesting. Do you think the person will ever harm another animal?
474,10,Agreed.    Harming animals intentionally is a psychopath in the making
475,6,"man, what an article. About the birds, right?"
475,7,"Yeah, I can't even imagine what was going through the guy's head.  Although I've read that people hurting animals at the zoo isn't all that uncommon."
475,8,It was really sad.   Why would any human being kill a flamingo in a zoo
475,9,"Ah, are there any circumstances similar to the one in the article that would excite you emotionally? Endangered animal? Drunken assailant?"
475,10,Agreed.    Harming animals intentionally is a psychopath in the making
476,6,Poor flamingo was just minding it 's own business and got attacked!
476,7,I think its a real story. Witnesses said that he picked up a different flamingo but put it down before getting the other one.
476,8,its a shame what happened to the flamingo
476,9,It is.   I have no idea what the life span is of a flamingo?   Do you?
476,10,It was really sad.   Why would any human being kill a flamingo in a zoo
477,6,animals are so fragile an innocent stories like this are just so troubling
477,7,I am a firm believer that if you do hurt animals you are either a psychopath or sociopath.    I wonder if the story was true about Pinky?
477,8,"Yeah, I can't even imagine what was going through the guy's head.  Although I've read that people hurting animals at the zoo isn't all that uncommon."
477,9,Agreed.    Harming animals intentionally is a psychopath in the making
477,10,"As for the story, I sympathize with the woman but I also think it's unacceptable to have your dog off the leash like that.  I'm not saying the guy needed to kill it, but I find it wholly unacceptable to expose people to uncontrolled dogs, especially in environments where they're not allowed to be off their leashes."
479,6,It sounds like the people down near the river were the most affected and getting the compensation and that sounds like a poor area to me. I could be wrong but that money could go a long way.
479,7,Well at the very least I think they should make more of an effort to help better the situation. After all it is their mess that is impacting the lives of a lot of people that live off the river. Well lived. They can't really live off of it that well now anyways.
479,8,"Hm, I wonder if the area has been restored to a functioning capacity. The article talked about dams be broken and billions of dollars of damage being done to roads and buildings."
479,9,"hello, that was really tough to read, hearing about how many people are financially impacted by that mud flood"
479,10,"they have tried some minor things, like trying to replant the river banks, but it sounded ineffective and sloppy"
484,6,The article was very sad. What did you think abotu it?
484,7,"hello, that was really tough to read, hearing about how many people are financially impacted by that mud flood"
484,8,"Hi there, so I found this to be sad.  It's always so tragic reading about plastic in the ocean and how it's harming wildlife there.  What did you think?"
484,9,What did you feel about the article?
484,10,it reminds me of the flint water crisis its just never ending
485,6,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
485,7,I think people in this world need my empathy for others. Nobody risks their life on a cheap boat because they want to steal from your country or take what you have. They just want a better life.
485,8,"Hi there, so I found this to be sad.  It's always so tragic reading about plastic in the ocean and how it's harming wildlife there.  What did you think?"
485,9,I think that even though the article was from 2016 it is still very relevant. I also thought it quite morbid that no accounts of rescue were mentioned. These people are drowning along well trafficked routes through the Mediterranean and no one can be bothered to help? At all?
485,10,"Yes I agree.  It seems particularly sad when it is an endangered species that is being compromised.  I did not see anything in the article about what they planned to do to fix the situation, did you?"
487,6,Honestly I think it is pretty messed up that the company in charge of the mining accident aren't cleaning up the polution effectively.
487,7,"hello, that was really tough to read, hearing about how many people are financially impacted by that mud flood"
487,8,What a sad situation! I think earthquakes are one of the most frightening natural disasters personally.
487,9,Talk about being violated twice. Suffer the disaster than rather than getting help the people in your community want to take what little might have survived the quake. Crazy.
487,10,Earthquakes are so scary. I'm from California and I know how tough they can be to deal with. But to hear of people stealing from those that suffered an earthquake is sickening.
489,6,"Yeah I feel bad for them too.  I don't know much about the whole palm oil issue, I found it a little confusing."
489,7,I feel bad for the orangutans!  But this palm oil issue seems to be a very big one in Indonesia.
489,8,"Yes, the article sure was.  But apparently Indonesia cuts down forests to grow palm trees to make palm oil.  But the palm oil industry is apparently terrible for the environment in all sorts of ways."
489,9,I think it's pitiful because it shows what the rest of the world is up against with respect to environmental issues.  These countries are more concerned about their economics than enivronment.  They burn down forests to make palm oil.
489,10,There has to be more to it! And why are we putting oil above human lives... it's awful
490,6,I hope so. I really wish that no one would have to live like the people in that article.
490,7,Any more thoughts on the article?
490,8,What did you feel about the article?
490,9,what did you think about this article
490,10,I actually read that article too. I'm sure that the government is using plenty of resources to make sure only a fraction of what is going on down there is actually reported on.
492,6,"The idea that we are still allowing so many endangered animals to be killed and especially an animal as gentle and amazing as an elephant is just heartbreaking. I feel so frustrated, angry and helpless over this situation. I do think it is time to crack down on those buying the ivory as strongly as those poaching."
492,7,"If only there was a way to devalue Ivory, so there wasn't any point in killing elephants. I remember reading an article a long time ago when groups tried to flood the ivory market with fakes to lower prices."
492,8,"Speaking of poaching, I had an article about elephant tusks a couple days back. And I later googled that elephant tusks go for around 400k. And in poor areas in Africa, that's basically lottery money. And at that point, I'm not sure you can even blame the poachers. You blame the people who are buying the ivory and elephant parts for ancient medicine stuff. It's disgusting that they think elephant or whale parts will affect diseases."
492,9,"I don't think the African nations can take the helm. The more time they spend disagreeing the more threatened elephant populations become. I really think the UN should be more actively involved. Perhaps not with legislation, but definitely with enforcement."
492,10,"Yes, that was part of what made it so heartbreaking. They were obviously very invested in doing all they could for her. I wish I knew if that was some sanctuary or organization that is trying to help rhinos so that money could be raised to improve conditions so that perhaps they could save more babies."
493,6,I think it is sad as well... Poor elephants
493,7,"I love elephants, that made me so sad to read."
493,8,i think its really sad too i love elephants andthey deserve to be protected
493,9,I think its sad the way elephants lack good protection
493,10,"I can think of how in the US change was created with the civil rights movement, and the women's movement when people stood together. I think that because people like us know about the story we can help by sharing this information on social media. We can be the media for them. But what can be done about the poor elephants? They have lost their homes because of the forest's being destroyed."
494,6,what do you think about the article?
494,7,What did you feel about the article?
494,8,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
494,9,How did this article make you feel?
494,10,what did you think about the article?
497,6,Hi there - I was very surprised to find out that China allowed women to become pilots at all
497,7,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
497,8,What do you think about the article?
497,9,I hadn't thought of that. Maybe? I don't think it would keep women from wanting to become pilots - flying is always risky - but I wonder if public opinion will turn against women flying. What do you think?
497,10,"I felt like the article was trying to say how bad the US is though that they have moved down in gender pay equality. I feel like if people really looked at how other cultures are, they would appreciate how good we really have it in the US."
498,6,"Yes, I thought the article showed quite a broad range of experiences.  People trying to survive the incident itself.  People finding out and dealing with dead loved ones.  People angry about it.  Officials trying to maintain safety and order going forward."
498,7,"Her name was Yu Xu. There are lots of articles available online concerning the accident and even videos on YouTube. I think that the story id probably true, but I think the cause of the accident is suspect. Maybe flaws in aviation technology that would make Chinese engineers lose face."
498,8,I also wonder about the logistics of her death. Was she struck by a third plane not involved in the initial collision? Did the pilot and co-pilot of the other plane eject as well? There's just a lot of details that aren't covered in the article.
498,9,"Definitely, i hopefully the owner is able to find peace. At the end of the article it seems like she is coming to terms with it being an accident"
498,10,I like how she was so proud of herself for being the first woman to pilot the fighter jet
499,6,"I'm of two minds about this article. On the one hand, yay first female fighter pilot in China. On the other, she was flying in aerobatic shows. Is that really groundbreaking?"
499,7,It sucks that she trained all this time to be a pilot jsut to get killed.
499,8,"Her name was Yu Xu. There are lots of articles available online concerning the accident and even videos on YouTube. I think that the story id probably true, but I think the cause of the accident is suspect. Maybe flaws in aviation technology that would make Chinese engineers lose face."
499,9,I like how she was so proud of herself for being the first woman to pilot the fighter jet
499,10,Hi there - I was very surprised to find out that China allowed women to become pilots at all
500,6,"Her name was Yu Xu. There are lots of articles available online concerning the accident and even videos on YouTube. I think that the story id probably true, but I think the cause of the accident is suspect. Maybe flaws in aviation technology that would make Chinese engineers lose face."
500,7,"Especially the lengths she went to to normalize and encourage the behavior. Honestly, my stomach is churning just thinking about some of the details included in the article. Do you think going on network television with her issue has been a positive or negative experience for the victim?"
500,8,"She seemed very young from the article, seemed like she just became a pilot not long ago. Overall, being on a plane is scary, for me at least. Just being in the air in general is scary."
500,9,I didn't watch the news much growing up so I had no idea ho she was before reading this. It;s so sad she suffered from parkinsons for 20 years.
500,10,Yea I was a bit surprised at that but more so surprised that she was killed by another plane's wing hitting her.
506,6,what did you think about this article
506,7,"It's definitely really sad to read, considering everything they're all going through. What did you think?"
506,8,"I think it's super sad... they seem to never catch a break, always struggling."
506,9,I can't imagine just living in an area that is constantly being ravaged by hurricanes or earthquakes. I take my location for granted.
506,10,Me too.. I also can't imagine living in the poverty and such.. It's crazy to think that people still live like that sometimes.  The gap between first world countires and places like that is crazy to em
507,6,"Because they left a window open and the toddler pushed through the screen? I know that jumping toward negligence is a common emotional reaction to situations like this, but I think that you're misplacing blame in this instance."
507,7,"In my view, a screen should provide enough security to allow the parents to leave the window open, you're analogy doesn't track. Perhaps they were just trying to keep their children's room cool on a balmy summer night. Accidents like this happen all the time. If you're intent on holding someone accountable then their really isn't anyone else to blame, but sometimes things just happen."
507,8,Is it not negligent to make sure the window is closed/access blocked? That's like driving down the road with the door open and blaming the kid when they fall out.
507,9,"Most windows are up high enough on a wall that a child could not just walk through them. The child obviously stacked things inside the room to bring himself to window level and then pressed on the screen hard enough (this would take significant force on a properly installed screen) to fall through the window. The child was also four years old, right? At four, most children would have the presence of mind not to engage in such an activity. This is an odd circumstance all things considered. It's terrible to think of a dead child in any context."
507,10,If you live multiple stories up then you should not leave a window open and if you do access needs to be blocked. Screens are obviously not a deterrent. So yes I think that parents in this situation should be forced to take parenting classes.
513,6,what did you think about this article
513,7,"It's definitely really sad to read, considering everything they're all going through. What did you think?"
513,8,"I think it's super sad... they seem to never catch a break, always struggling."
513,9,I can't imagine just living in an area that is constantly being ravaged by hurricanes or earthquakes. I take my location for granted.
513,10,Me too.. I also can't imagine living in the poverty and such.. It's crazy to think that people still live like that sometimes.  The gap between first world countires and places like that is crazy to em
514,6,what did you think about this article
514,7,"It's definitely really sad to read, considering everything they're all going through. What did you think?"
514,8,"I think it's super sad... they seem to never catch a break, always struggling."
514,9,I can't imagine just living in an area that is constantly being ravaged by hurricanes or earthquakes. I take my location for granted.
514,10,Me too.. I also can't imagine living in the poverty and such.. It's crazy to think that people still live like that sometimes.  The gap between first world countires and places like that is crazy to em
515,6,what did you think about this article
515,7,Hello what did you think about the article
515,8,What do you think about the article?
515,9,what did you think about this article
515,10,Hello what did you think of the article
516,6,"Hello, what did you think about the article?"
516,7,The article was very sad. What did you think abotu it?
516,8,"Hello, what did you think about the article?"
516,9,Hello. What did you think of the article?
516,10,hello how did you feel about the article?
517,6,Yeah for sure...Do you think you personally would return to Mosul if you were a Christian?
517,7,"Yup. Anyway, it was really nice of France to welcome Christians that feared going back to Mosul."
517,8,"Yeah, thank god they've basically been beaten. ISIS has lost nearly all of the land that they controlled in prior years."
517,9,Yeah that's really tough. It's sad because i don't think ISIS is going anywhere anytime soon. I'm expecting more deaths to come which is crazy to think about.
517,10,I hate everything about ISIS..i really hope they can be totally eliminated...You?
518,6,Just shows that we're not really improving as humans. Well it was nice talking to you! bye
518,7,"Yeah me too.  Probably one of the two worst articles I've read on here.  Well I hope you have a good rest of your day, it's been good talking to you.  goodbye"
518,8,These articles have been making me do some soul searching. It was nice talking with you! bye.
518,9,"Hello, that was a sad article."
518,10,"I\m good and you? The article is sad."""
519,6,what did you think about the article?
519,7,What did you think of the article?
519,8,what did you think about the article?
519,9,what did you think about this article
519,10,What did you feel about the article?
520,6,"I just hate that so many people need to suffer. It isn't right, no matter the reason, to persecute and murder people. And using religious views as a cover isn't an excuse. It also doesn't help that entire part of the world is so volitile in general. Hasn't there been conflict there for literal centuries?"
520,7,"I agree that killing is wrong. However, regarding this article it is nearly impossible to set religion aside as it is the reason the killings are happening."
520,8,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
520,9,"I have not heard about that but I am sure you are probably right.  It seems like senseless violence is just a part of the culture there.  Not that it isn't here either, but it seems more out of hand there.  Well I must go, it has been a pleasure speaking with you about this.  I hope you have a nice afternoon.  Goodbye"
520,10,"I think we should even put religion aside, it is never right to kill another person"
521,6,Hey there! So this article is something. I can't help but wonder why people of different religious backgrounds can't seem to get along in that part of the world. We seem to do ok over here in the West.
521,7,what did you think about this article
521,8,"I wish they would. I mean taking the article into consideration again, even if you forget the killing the damage done in the name of religion needs to be addressed. Both sides need to do more to remember peace, tolerance and acceptance is better than violence and hatred."
521,9,"I just hate that so many people need to suffer. It isn't right, no matter the reason, to persecute and murder people. And using religious views as a cover isn't an excuse. It also doesn't help that entire part of the world is so volitile in general. Hasn't there been conflict there for literal centuries?"
521,10,"I agree that killing is wrong. However, regarding this article it is nearly impossible to set religion aside as it is the reason the killings are happening."
522,6,The article was very sad. What did you think abotu it?
522,7,It was sad.   It seems all these articles are so very sad.
522,8,What did you feel about the article?
522,9,It is sad that there doesn't seem to be any way to help those people from the article. Even if they wanted to go back so much has been destoryed that you can understand why they'd want to stay away.
522,10,I think that even though the article was from 2016 it is still very relevant. I also thought it quite morbid that no accounts of rescue were mentioned. These people are drowning along well trafficked routes through the Mediterranean and no one can be bothered to help? At all?
